locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDBHNIBC_00794	CDS	369	rpsM		COG0099	30S ribosomal protein S13
JDBHNIBC_00795	CDS	390	rpsK		COG0100	30S ribosomal protein S11
JDBHNIBC_00796	CDS	1014	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
JDBHNIBC_00797	CDS	429	rplQ		COG0203	50S ribosomal protein L17
JDBHNIBC_00798	CDS	1425	degP_2	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
JDBHNIBC_00799	CDS	1314	rarA		COG2256	Replication-associated recombination protein A
JDBHNIBC_00800	CDS	585				hypothetical protein
JDBHNIBC_00801	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
JDBHNIBC_00802	CDS	1086	recA			Protein RecA
JDBHNIBC_00803	CDS	2658	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
JDBHNIBC_00804	CDS	1446	phoA	3.1.3.1	COG1785	Alkaline phosphatase
JDBHNIBC_00805	CDS	1215	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
JDBHNIBC_00806	CDS	411				hypothetical protein
JDBHNIBC_00807	CDS	585	yfkM	3.2.-.-	COG0693	General stress protein 18
JDBHNIBC_00808	CDS	831	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
JDBHNIBC_00809	CDS	834	murI	5.1.1.3	COG0796	Glutamate racemase
JDBHNIBC_00810	CDS	990				hypothetical protein
JDBHNIBC_00811	CDS	2049				hypothetical protein
JDBHNIBC_00812	CDS	363				hypothetical protein
JDBHNIBC_00813	CDS	2139	bhbA	5.4.99.2		Methylmalonyl-CoA mutase
JDBHNIBC_00814	CDS	2004	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
JDBHNIBC_00815	CDS	1533	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
JDBHNIBC_00816	CDS	1413	pccR		COG1396	Propionyl-CoA carboxylase regulator
JDBHNIBC_00817	CDS	543				hypothetical protein
JDBHNIBC_00818	CDS	177				hypothetical protein
JDBHNIBC_00819	CDS	468	queF	1.7.1.13		NADPH-dependent 7-cyano-7-deazaguanine reductase
JDBHNIBC_00820	CDS	315				hypothetical protein
JDBHNIBC_00821	CDS	348				hypothetical protein
JDBHNIBC_00822	CDS	366				hypothetical protein
JDBHNIBC_00823	CDS	387				hypothetical protein
JDBHNIBC_00824	CDS	669				hypothetical protein
JDBHNIBC_00825	CDS	267				hypothetical protein
JDBHNIBC_00826	CDS	795				hypothetical protein
JDBHNIBC_00827	CDS	1404	sdaA	4.3.1.17	COG1760	L-serine dehydratase
JDBHNIBC_00828	CDS	438				hypothetical protein
JDBHNIBC_00829	CDS	294				hypothetical protein
JDBHNIBC_00830	CDS	1419				hypothetical protein
JDBHNIBC_00831	CDS	351	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
JDBHNIBC_00832	CDS	2475	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
JDBHNIBC_00833	CDS	423				hypothetical protein
JDBHNIBC_00834	CDS	1188				hypothetical protein
JDBHNIBC_00835	CDS	741				hypothetical protein
JDBHNIBC_00836	CDS	465				hypothetical protein
JDBHNIBC_00837	CDS	843				hypothetical protein
JDBHNIBC_00838	CDS	495				hypothetical protein
JDBHNIBC_00839	CDS	771	rpsB		COG0052	30S ribosomal protein S2
JDBHNIBC_00840	CDS	918	tsf			Elongation factor Ts
JDBHNIBC_00841	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
JDBHNIBC_00842	CDS	561	frr		COG0233	Ribosome-recycling factor
JDBHNIBC_00843	CDS	765	uppS	2.5.1.-	COG0020	Isoprenyl transferase
JDBHNIBC_00844	CDS	813				hypothetical protein
JDBHNIBC_00845	CDS	1140	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
JDBHNIBC_00846	CDS	2346	bamA_1		COG4775	Outer membrane protein assembly factor BamA
JDBHNIBC_00847	CDS	1056	lpxD	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
JDBHNIBC_00848	CDS	474	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
JDBHNIBC_00849	CDS	837	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
JDBHNIBC_00850	CDS	903	lpxI	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
JDBHNIBC_00851	CDS	1188	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
JDBHNIBC_00852	CDS	1293	aarA	2.3.3.16		Citrate synthase
JDBHNIBC_00853	CDS	1422	gltX_1	6.1.1.17		Glutamate--tRNA ligase
JDBHNIBC_00854	CDS	837				hypothetical protein
JDBHNIBC_00855	CDS	1698				hypothetical protein
JDBHNIBC_00856	CDS	723	lexA_1	3.4.21.88	COG1974	LexA repressor
JDBHNIBC_00857	CDS	1215	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
JDBHNIBC_00858	CDS	498	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
JDBHNIBC_00859	CDS	807	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
JDBHNIBC_00860	CDS	1020	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
JDBHNIBC_00861	CDS	1887	prsA_2	5.2.1.8		Foldase protein PrsA
JDBHNIBC_00862	CDS	765	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
JDBHNIBC_00863	CDS	447	secG		COG1314	Protein-export membrane protein SecG
JDBHNIBC_00864	CDS	693				hypothetical protein
JDBHNIBC_00865	CDS	1629	pyrG	6.3.4.2	COG0504	CTP synthase
JDBHNIBC_00866	CDS	834	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
JDBHNIBC_00867	CDS	1278	eno	4.2.1.11		Enolase
JDBHNIBC_00868	CDS	582				hypothetical protein
JDBHNIBC_00869	CDS	330				hypothetical protein
JDBHNIBC_00870	CDS	1041	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
JDBHNIBC_00871	CDS	1386	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
JDBHNIBC_00872	CDS	1344	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
JDBHNIBC_00873	CDS	1464	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
JDBHNIBC_00874	CDS	969	lipA	2.8.1.8		Lipoyl synthase
JDBHNIBC_00875	CDS	411	ratA		COG2867	Ribosome association toxin RatA
JDBHNIBC_00876	CDS	819	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
JDBHNIBC_00877	CDS	498	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
JDBHNIBC_00878	CDS	1344	ispDF	4.6.1.12		Bifunctional enzyme IspD/IspF
JDBHNIBC_00879	CDS	999	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
JDBHNIBC_00880	CDS	1143	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
JDBHNIBC_00881	CDS	1476	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
JDBHNIBC_00882	CDS	2292	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
JDBHNIBC_00883	CDS	1362	glnG		COG2204	DNA-binding transcriptional regulator NtrC
JDBHNIBC_00884	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
JDBHNIBC_00885	CDS	831				hypothetical protein
JDBHNIBC_00886	CDS	237	hfq			RNA-binding protein Hfq
JDBHNIBC_00887	CDS	1449	hflX		COG2262	GTPase HflX
JDBHNIBC_00888	CDS	630	clpP	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
JDBHNIBC_00889	CDS	1275	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
JDBHNIBC_00890	CDS	2439	lon	3.4.21.53		Lon protease
JDBHNIBC_00891	CDS	276			COG0776	DNA-binding protein HRL53
JDBHNIBC_00892	CDS	2925	uvrA			UvrABC system protein A
JDBHNIBC_00893	CDS	201				hypothetical protein
JDBHNIBC_00894	CDS	507				Single-stranded DNA-binding protein
JDBHNIBC_00895	CDS	201				hypothetical protein
JDBHNIBC_00896	CDS	762	yurK		COG2188	putative HTH-type transcriptional regulator YurK
JDBHNIBC_00897	CDS	579	phnN	2.7.4.23	COG3709	Ribose 1,5-bisphosphate phosphokinase PhnN
JDBHNIBC_00898	CDS	630				hypothetical protein
JDBHNIBC_00899	CDS	2769	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
JDBHNIBC_00900	CDS	99				hypothetical protein
JDBHNIBC_00901	CDS	150				hypothetical protein
JDBHNIBC_00902	CDS	495	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
JDBHNIBC_00903	CDS	591				hypothetical protein
JDBHNIBC_00904	CDS	507	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
JDBHNIBC_00905	CDS	1092	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
JDBHNIBC_00906	CDS	1134	tgt_1	2.4.2.29		Queuine tRNA-ribosyltransferase
JDBHNIBC_00907	CDS	567				hypothetical protein
JDBHNIBC_00908	CDS	1149	ttgA			Toluene efflux pump periplasmic linker protein TtgA
JDBHNIBC_00909	CDS	3090	bepE_1			Efflux pump membrane transporter BepE
JDBHNIBC_00910	CDS	156				hypothetical protein
JDBHNIBC_00911	CDS	984	tgnB	1.14.14.-	COG2141	Flavin-dependent trigonelline monooxygenase, oxygenase component
JDBHNIBC_00912	CDS	852	gcvA_1			Glycine cleavage system transcriptional activator
JDBHNIBC_00913	CDS	1185	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
JDBHNIBC_00914	CDS	1146	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
JDBHNIBC_00915	tRNA	85				tRNA-Leu(gag)
JDBHNIBC_00916	CDS	534				hypothetical protein
JDBHNIBC_00917	CDS	618	hin		COG1961	DNA-invertase hin
JDBHNIBC_00918	CDS	1365				hypothetical protein
JDBHNIBC_00919	CDS	405				hypothetical protein
JDBHNIBC_00920	CDS	1308				hypothetical protein
JDBHNIBC_00921	tRNA	85				tRNA-Leu(gag)
JDBHNIBC_00922	CDS	948				hypothetical protein
JDBHNIBC_00923	CDS	420	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
JDBHNIBC_00924	CDS	642	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
JDBHNIBC_00925	CDS	441				hypothetical protein
JDBHNIBC_00926	CDS	372	yidD			Putative membrane protein insertion efficiency factor
JDBHNIBC_00927	CDS	453	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
JDBHNIBC_00928	CDS	567				hypothetical protein
JDBHNIBC_00929	CDS	1977	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
JDBHNIBC_00930	CDS	1011				hypothetical protein
JDBHNIBC_00931	CDS	366				hypothetical protein
JDBHNIBC_00932	CDS	222				hypothetical protein
JDBHNIBC_00933	CDS	612				hypothetical protein
JDBHNIBC_00934	CDS	825	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
JDBHNIBC_00935	CDS	1008	lnpD	5.1.3.2		UDP-glucose 4-epimerase
JDBHNIBC_00936	CDS	966				hypothetical protein
JDBHNIBC_00937	CDS	831	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
JDBHNIBC_00938	CDS	996		3.4.11.18		Methionine aminopeptidase 1, mitochondrial
JDBHNIBC_00939	CDS	984	adhA	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
JDBHNIBC_00940	CDS	492	aaeA_1			p-hydroxybenzoic acid efflux pump subunit AaeA
JDBHNIBC_00941	CDS	1419	farB			Fatty acid resistance protein FarB
JDBHNIBC_00942	CDS	1491	cat1	2.8.3.-	COG0427	Succinyl-CoA:coenzyme A transferase
JDBHNIBC_00943	CDS	795				hypothetical protein
JDBHNIBC_00944	CDS	522				hypothetical protein
JDBHNIBC_00945	CDS	855	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
JDBHNIBC_00946	CDS	744	alaS_2	6.1.1.7	COG0013	Alanine--tRNA ligase
JDBHNIBC_00947	CDS	1029	cysK	2.5.1.47	COG0031	Cysteine synthase
JDBHNIBC_00948	CDS	1608	rhlE	3.6.4.13		ATP-dependent RNA helicase RhlE
JDBHNIBC_00949	CDS	1260	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
JDBHNIBC_00950	tRNA	86				tRNA-Leu(taa)
JDBHNIBC_00951	CDS	600		1.6.5.2		NAD(P)H dehydrogenase (quinone)
JDBHNIBC_00952	CDS	759	cinA		COG1058	Putative competence-damage inducible protein
JDBHNIBC_00953	CDS	846				hypothetical protein
JDBHNIBC_00954	CDS	513	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
JDBHNIBC_00955	CDS	489				hypothetical protein
JDBHNIBC_00956	CDS	3786				hypothetical protein
JDBHNIBC_00957	CDS	1227	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
JDBHNIBC_00958	CDS	1326				hypothetical protein
JDBHNIBC_00959	CDS	1209				hypothetical protein
JDBHNIBC_00960	CDS	2394	cckA			Sensor kinase CckA
JDBHNIBC_00961	CDS	177				hypothetical protein
JDBHNIBC_00962	CDS	1257				hypothetical protein
JDBHNIBC_00963	CDS	417	dksA		COG1734	RNA polymerase-binding transcription factor DksA
JDBHNIBC_00964	CDS	501		3.1.3.-	COG2062	putative protein
JDBHNIBC_00965	CDS	1461	ycjX		COG3106	putative protein YcjX
JDBHNIBC_00966	CDS	1074				hypothetical protein
JDBHNIBC_00967	CDS	534				hypothetical protein
JDBHNIBC_00968	CDS	534	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
JDBHNIBC_00969	CDS	360	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
JDBHNIBC_00970	CDS	840	folP	2.5.1.15		Dihydropteroate synthase
JDBHNIBC_00971	CDS	621				hypothetical protein
JDBHNIBC_00972	CDS	324		1.18.1.2	COG0492	Ferredoxin--NADP reductase
JDBHNIBC_00973	CDS	207		1.18.1.2	COG0492	Ferredoxin--NADP reductase
JDBHNIBC_00974	CDS	324	fdxE		COG0633	Ferredoxin-6
JDBHNIBC_00975	CDS	4749				hypothetical protein
JDBHNIBC_00976	CDS	630				hypothetical protein
JDBHNIBC_00977	CDS	996				hypothetical protein
JDBHNIBC_00978	CDS	864	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
JDBHNIBC_00979	CDS	1176				hypothetical protein
JDBHNIBC_00980	CDS	981	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
JDBHNIBC_00981	CDS	2325	dme	1.1.1.39	COG0280	NAD-dependent malic enzyme
JDBHNIBC_00982	CDS	1374	gltX_2	6.1.1.17	COG0008	Glutamate--tRNA ligase
JDBHNIBC_00983	CDS	1653	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
JDBHNIBC_00984	CDS	351	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
JDBHNIBC_00985	CDS	1380	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
JDBHNIBC_00986	CDS	1395	garB	1.8.1.16		Glutathione amide reductase
JDBHNIBC_00987	CDS	537				hypothetical protein
JDBHNIBC_00988	CDS	699	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
JDBHNIBC_00989	CDS	705	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
JDBHNIBC_00990	CDS	273				hypothetical protein
JDBHNIBC_00991	CDS	1506	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
JDBHNIBC_00992	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
JDBHNIBC_00993	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
JDBHNIBC_00994	CDS	783				hypothetical protein
JDBHNIBC_00995	CDS	651	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
JDBHNIBC_00996	CDS	924				hypothetical protein
JDBHNIBC_00997	CDS	981	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
JDBHNIBC_00998	CDS	1800	ndvA	7.5.2.3		Beta-(1-->2)glucan export ATP-binding/permease protein NdvA
JDBHNIBC_00999	CDS	819	rbn	3.1.26.11		Ribonuclease BN
JDBHNIBC_01000	CDS	792	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
JDBHNIBC_01001	CDS	1548	metG	6.1.1.10		Methionine--tRNA ligase
JDBHNIBC_01002	CDS	1083				hypothetical protein
JDBHNIBC_01003	CDS	645	tmk	2.7.4.9	COG0125	Thymidylate kinase
JDBHNIBC_01004	CDS	1191	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
JDBHNIBC_01005	CDS	1266	rlpA_1	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
JDBHNIBC_01006	CDS	348	arsC	1.20.4.1		Arsenate reductase
JDBHNIBC_01007	CDS	261				hypothetical protein
JDBHNIBC_01008	CDS	759				hypothetical protein
JDBHNIBC_01009	CDS	222				hypothetical protein
JDBHNIBC_01010	CDS	1560				hypothetical protein
JDBHNIBC_01011	CDS	1233				hypothetical protein
JDBHNIBC_01012	CDS	1452				hypothetical protein
JDBHNIBC_01013	CDS	105				hypothetical protein
JDBHNIBC_01014	CDS	774				hypothetical protein
JDBHNIBC_01015	CDS	393			COG3039	IS5 family transposase IS711
JDBHNIBC_01016	CDS	369			COG3039	IS5 family transposase IS711
JDBHNIBC_01017	CDS	609	tgt_2	2.4.2.29		Queuine tRNA-ribosyltransferase
JDBHNIBC_01018	CDS	246				hypothetical protein
JDBHNIBC_01019	CDS	315				hypothetical protein
JDBHNIBC_01020	CDS	171				hypothetical protein
JDBHNIBC_01021	CDS	711				hypothetical protein
JDBHNIBC_01022	CDS	588				hypothetical protein
JDBHNIBC_01023	CDS	276				hypothetical protein
JDBHNIBC_01024	CDS	231				hypothetical protein
JDBHNIBC_01025	CDS	705				hypothetical protein
JDBHNIBC_01026	CDS	204				hypothetical protein
JDBHNIBC_01027	CDS	216				hypothetical protein
JDBHNIBC_01028	CDS	204				hypothetical protein
JDBHNIBC_01029	CDS	1026				hypothetical protein
JDBHNIBC_01030	tRNA	74				tRNA-Gly(ccc)
JDBHNIBC_01031	CDS	252				hypothetical protein
JDBHNIBC_01032	tRNA	77				tRNA-Arg(ccg)
JDBHNIBC_01033	tRNA	75				tRNA-Val(cac)
JDBHNIBC_01034	CDS	1596				hypothetical protein
JDBHNIBC_01035	CDS	384				hypothetical protein
JDBHNIBC_01036	CDS	1620	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
JDBHNIBC_01037	CDS	1107	hpxO	1.14.13.113	COG0654	FAD-dependent urate hydroxylase
JDBHNIBC_01038	CDS	360				hypothetical protein
JDBHNIBC_01039	CDS	990	moaA	4.1.99.22		GTP 3',8-cyclase
JDBHNIBC_01040	CDS	591	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
JDBHNIBC_01041	CDS	159				hypothetical protein
JDBHNIBC_01042	CDS	447				hypothetical protein
JDBHNIBC_01043	CDS	330	gstB	2.5.1.18	COG0625	Glutathione S-transferase GstB
JDBHNIBC_01044	CDS	876	Hgd	1.1.1.291		2-(hydroxymethyl)glutarate dehydrogenase
JDBHNIBC_01045	CDS	891				hypothetical protein
JDBHNIBC_01046	CDS	303				hypothetical protein
JDBHNIBC_01047	CDS	2733	valS	6.1.1.9	COG0525	Valine--tRNA ligase
JDBHNIBC_01048	CDS	732				hypothetical protein
JDBHNIBC_01049	CDS	1359	bepC			Outer membrane efflux protein BepC
JDBHNIBC_01050	CDS	669	pcm_1	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
JDBHNIBC_01051	CDS	201				hypothetical protein
JDBHNIBC_01052	CDS	624				hypothetical protein
JDBHNIBC_01053	CDS	381	iscA		COG0316	Iron-binding protein IscA
JDBHNIBC_01054	CDS	1449	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
JDBHNIBC_01055	CDS	774	nadK	2.7.1.23		NAD kinase
JDBHNIBC_01056	tRNA	76				tRNA-Thr(tgt)
JDBHNIBC_01057	CDS	972				hypothetical protein
JDBHNIBC_01058	CDS	420				hypothetical protein
JDBHNIBC_01059	CDS	1245	csd	2.8.1.7		putative cysteine desulfurase
JDBHNIBC_01060	CDS	1278	sufD		COG0719	FeS cluster assembly protein SufD
JDBHNIBC_01061	CDS	756	sufC		COG0396	putative ATP-dependent transporter SufC
JDBHNIBC_01062	CDS	1524	sufB		COG0719	FeS cluster assembly protein SufB
JDBHNIBC_01063	CDS	1179	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
JDBHNIBC_01064	CDS	675				hypothetical protein
JDBHNIBC_01065	CDS	333	emrE		COG2076	Multidrug transporter EmrE
JDBHNIBC_01066	CDS	1122	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
JDBHNIBC_01067	CDS	1254	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
JDBHNIBC_01068	CDS	3399				hypothetical protein
JDBHNIBC_01069	CDS	465	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
JDBHNIBC_01070	CDS	828				hypothetical protein
JDBHNIBC_01071	CDS	363				hypothetical protein
JDBHNIBC_01072	CDS	369			COG3039	IS5 family transposase IS711
JDBHNIBC_01073	CDS	966	prfB		COG1186	Peptide chain release factor RF2
JDBHNIBC_01074	CDS	2460	mrcA		COG5009	Penicillin-binding protein 1A
JDBHNIBC_01075	CDS	1215	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
JDBHNIBC_01076	CDS	2676	rne	3.1.26.12		Ribonuclease E
JDBHNIBC_01077	CDS	156				hypothetical protein
JDBHNIBC_01078	CDS	987	aspC	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
JDBHNIBC_01079	CDS	1416	bepA_2	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
JDBHNIBC_01080	CDS	798				hypothetical protein
JDBHNIBC_01081	CDS	474	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
JDBHNIBC_01082	CDS	471	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
JDBHNIBC_01083	CDS	1380	accC	6.3.4.14	COG0439	Biotin carboxylase
JDBHNIBC_01084	CDS	570	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
JDBHNIBC_01085	CDS	471				hypothetical protein
JDBHNIBC_01086	CDS	411				hypothetical protein
JDBHNIBC_01087	CDS	504				hypothetical protein
JDBHNIBC_01088	CDS	1503	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
JDBHNIBC_01089	CDS	1434	tig	5.2.1.8	COG0544	Trigger factor
JDBHNIBC_01090	tRNA	83				tRNA-Leu(tag)
JDBHNIBC_01091	CDS	570				hypothetical protein
JDBHNIBC_01092	CDS	1137				hypothetical protein
JDBHNIBC_01093	CDS	147				hypothetical protein
JDBHNIBC_01094	CDS	1401	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
JDBHNIBC_01095	CDS	834				hypothetical protein
JDBHNIBC_01096	CDS	390				hypothetical protein
JDBHNIBC_01097	CDS	2277	secDF_2		COG0341	Protein translocase subunit SecDF
JDBHNIBC_01098	CDS	342	yajC		COG1862	Sec translocon accessory complex subunit YajC
JDBHNIBC_01099	CDS	867				hypothetical protein
JDBHNIBC_01100	CDS	1299				hypothetical protein
JDBHNIBC_01101	CDS	669	pcm_2	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
JDBHNIBC_01102	CDS	768	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
JDBHNIBC_01103	CDS	1410	serS	6.1.1.11	COG0172	Serine--tRNA ligase
JDBHNIBC_01104	CDS	825	tatC		COG0805	Sec-independent protein translocase protein TatC
JDBHNIBC_01105	CDS	582	tatB		COG1826	Sec-independent protein translocase protein TatB
JDBHNIBC_01106	CDS	219	tatA			Sec-independent protein translocase protein TatA
JDBHNIBC_01107	CDS	726	scpB			Segregation and condensation protein B
JDBHNIBC_01108	CDS	852	scpA		COG1354	Segregation and condensation protein A
JDBHNIBC_01109	CDS	1020	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
JDBHNIBC_01110	CDS	2955				hypothetical protein
JDBHNIBC_01111	CDS	1758	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
JDBHNIBC_01112	CDS	1209				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
JDBHNIBC_01113	CDS	327			COG0316	Protein
JDBHNIBC_01114	CDS	708				hypothetical protein
JDBHNIBC_01115	CDS	840	xthA_2	3.1.11.2	COG0708	Exodeoxyribonuclease III
JDBHNIBC_01116	CDS	768				hypothetical protein
JDBHNIBC_01117	CDS	570				hypothetical protein
JDBHNIBC_01118	CDS	705				hypothetical protein
JDBHNIBC_01119	CDS	480	decR_2		COG1522	DNA-binding transcriptional activator DecR
JDBHNIBC_01120	CDS	1020	cobU	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
JDBHNIBC_01121	CDS	783	cobV	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
JDBHNIBC_01122	CDS	705				hypothetical protein
JDBHNIBC_01123	CDS	1023	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
JDBHNIBC_01124	CDS	789	artJ_1		COG0834	ABC transporter arginine-binding protein 1
JDBHNIBC_01125	CDS	684	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
JDBHNIBC_01126	CDS	1140	phnM	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
JDBHNIBC_01127	CDS	732				hypothetical protein
JDBHNIBC_01128	CDS	918	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
JDBHNIBC_01129	CDS	1023	galM	5.1.3.3	COG2017	Aldose 1-epimerase
JDBHNIBC_01130	CDS	762				hypothetical protein
JDBHNIBC_01131	CDS	282	acpXL		COG0236	Acyl carrier protein AcpXL
JDBHNIBC_01132	CDS	1182				hypothetical protein
JDBHNIBC_01133	CDS	1278	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
JDBHNIBC_01134	CDS	1029		1.3.1.103		2-haloacrylate reductase
JDBHNIBC_01135	CDS	927	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
JDBHNIBC_01136	CDS	678	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
JDBHNIBC_01137	CDS	1302	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
JDBHNIBC_01138	CDS	876				hypothetical protein
JDBHNIBC_01139	CDS	576				hypothetical protein
JDBHNIBC_01140	CDS	768	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
JDBHNIBC_01141	CDS	324				hypothetical protein
